Rank,Last Name and First Name,Points,Debut
1,KRAMER Marita,1316.0,no
2,KRIZNAR Nika,1191.0,no
3,BOGATAJ Ursa,1151.0,no
4,ALTHAUS Katharina,906.0,no
5,TAKANASHI Sara,843.0,no
6,OPSETH Silje,731.0,no
7,KLINEC Ema,680.0,no
8,ITO Yuki,449.0,no
9,EDER Lisa,420.0,no
10,SEIFRIEDSBERGER Jacqueline,393.0,no
11,PAGNIER Josephine,387.0,no
12,ROGELJ Spela,371.0,no
13,WESTMAN Frida,358.0,yes
14,IRASCHKO-STOLZ Daniela,329.0,no
15,PINKELNIG Eva,315.0,no
16,BJOERSETH Thea Minyan,311.0,no
17,STROEM Anna Odine,292.0,no
18,KREUZER Chiara,291.0,yes
19,IWABUCHI Kaori,221.0,no
20,BRECL Jerneja,208.0,no
21,SETO Yuka,203.0,no
22,PREVC Nika,199.0,yes
23,STRATE Abigail,170.0,no
24,KUSTOVA Alexandra,169.0,no
25,HESSLER Pauline,168.0,no
26,SEYFARTH Juliane,139.0,no
27,AVVAKUMOVA Irina,132.0,no
28,FREITAG Selina,131.0,no
29,CLAIR Julia,116.0,no
30,KYKKAENEN Julia,110.0,no
31,TIKHONOVA Sofia,107.0,no
32,LOUTITT Alexandria,94.0,yes
33,GOERLICH Luisa,91.0,no
34,INDRACKOVA Karolina,82.0,no
35,MALSINER Lara,76.0,no
36,RUPPRECHT Anna,67.0,no
37,VTIC Maja,61.0,no
38,HARALAMBIE Daniela,53.0,no
39,MAKHINIA Irma,46.0,no
40,PROKOPEVA Kristina,44.0,yes
41,RAUTIONAHO Jenny,43.0,no
42,RAJDA Kinga,35.0,no
43,SORSCHAG Sophie,22.0,no
43,IWASA Haruka,22.0,no
45,KONDERLA Nicole,19.0,yes
46,IAKOVLEVA Lidiia,18.0,no
47,DONG Bing,11.0,yes
47,MUEHLBACHER Julia,11.0,no
49,KOMAR Katra,9.0,no
50,ARNET Sina,8.0,yes
51,MALSINER Jessica,7.0,no
52,SHPYNEVA Anna,6.0,no
53,ULRICHOVA Klara,4.0,no
53,LAUE Josephin,4.0,yes
55,EILERS Natalie,2.0,no
56,NORSTEDT Astrid,1.0,no
56,MOHARITSCH Vanessa,1.0,yes
